,Geography,Gender,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,France,Female,YES,YES,101348.88,YES
1,Spain,Female,NO,YES,112542.58,NO
2,France,Female,YES,NO,113931.57,YES
3,France,Female,NO,NO,93826.63,NO
4,Spain,Female,YES,YES,79084.1,NO
5,Spain,Male,YES,NO,149756.71,YES
6,France,Male,YES,YES,10062.8,NO
7,Germany,Female,YES,NO,119346.88,YES
8,France,Male,NO,YES,74940.5,NO
9,France,Male,YES,YES,71725.73,NO
10,France,Male,NO,NO,80181.12,NO
11,Spain,Male,YES,NO,76390.01,NO
12,France,Female,YES,NO,26260.98,NO
13,France,Female,NO,NO,190857.79,NO
14,Spain,Female,YES,YES,65951.65,NO
15,Germany,Male,NO,YES,64327.26,NO
16,Germany,Male,YES,NO,5097.67,YES
17,Spain,Female,YES,YES,14406.41,NO
18,Spain,Male,NO,NO,158684.81,NO
19,France,Female,YES,YES,54724.03,NO
20,France,Male,YES,YES,170886.17,NO
21,Spain,Female,YES,NO,138555.46,NO
22,Spain,Female,YES,NO,118913.53,YES
23,France,Male,NO,YES,8487.75,NO
24,France,Female,YES,YES,187616.16,NO
25,France,Male,NO,YES,124508.29,NO
26,Germany,Male,YES,YES,170041.95,NO
27,France,Male,NO,NO,38433.35,NO
28,Germany,Female,YES,YES,100187.43,NO
29,France,Male,YES,YES,53483.21,NO
30,Spain,Female,YES,NO,140469.38,YES
31,France,Male,NO,YES,156731.91,NO
32,Germany,Male,NO,NO,81898.81,NO
33,Spain,Female,YES,YES,34410.55,NO
34,Spain,Female,YES,YES,142033.07,NO
35,France,Female,YES,NO,27822.99,YES
36,Spain,Male,NO,YES,114066.77,NO
37,Spain,Male,NO,YES,98453.45,NO
38,France,Male,YES,YES,40812.9,NO
39,Germany,Male,NO,YES,178074.04,NO
40,Spain,Male,YES,NO,70154.22,NO
41,France,Female,NO,NO,181297.65,YES
42,France,Female,YES,YES,94153.83,NO
43,France,Female,NO,NO,194365.76,YES
44,Spain,Female,YES,YES,158338.39,NO
45,Germany,Female,YES,YES,126517.46,NO
46,Germany,Female,YES,YES,119708.21,YES
47,Germany,Female,YES,YES,117622.8,YES
48,Germany,Male,NO,YES,90878.13,NO
49,Germany,Female,YES,NO,194099.12,NO
50,Germany,Male,YES,NO,198059.16,NO
51,Germany,Male,NO,NO,86424.57,NO
52,France,Female,NO,NO,116978.19,NO
53,Germany,Male,NO,NO,164040.94,YES
54,Germany,Male,YES,NO,40014.76,YES
55,France,Male,YES,YES,113410.49,NO
56,France,Male,YES,NO,87107.57,NO
57,Germany,Male,NO,NO,45613.75,NO
58,Spain,Female,YES,NO,1643.11,YES
59,France,Male,YES,YES,46775.28,NO
60,Germany,Male,NO,NO,84509.57,NO
61,Germany,Female,NO,NO,126494.82,NO
62,Spain,Male,NO,NO,178798.13,NO
63,Spain,Male,YES,YES,99398.36,NO
64,Germany,Male,YES,YES,92840.67,NO
65,Germany,Female,YES,YES,27758.36,NO
66,Germany,Female,YES,NO,110431.51,NO
67,Germany,Male,YES,YES,196673.28,NO
68,Germany,Female,NO,YES,113656.85,NO
69,France,Female,YES,NO,18203.0,NO
70,Germany,Male,YES,NO,28373.86,YES
71,France,Male,YES,NO,33953.87,NO
72,Spain,Female,NO,YES,44203.55,NO
73,Germany,Female,YES,YES,58426.81,NO
74,France,Male,NO,YES,145562.4,NO
75,France,Female,YES,NO,22388.0,NO
76,France,Male,YES,YES,139161.64,NO
77,France,Female,YES,YES,148210.64,NO
78,Spain,Male,NO,YES,194239.63,NO
79,Germany,Female,YES,NO,98301.61,NO
80,France,Female,NO,NO,171413.66,NO
81,France,Female,YES,NO,136458.19,YES
82,France,Female,NO,NO,26019.59,NO
83,France,Female,YES,YES,159235.29,NO
84,France,Female,YES,NO,1907.66,NO
85,Spain,Female,YES,YES,114675.75,NO
86,Spain,Male,YES,NO,128643.35,YES
87,France,Male,YES,NO,151869.35,NO
88,France,Female,YES,NO,93251.42,YES
89,Germany,Female,YES,YES,156791.36,NO
90,Spain,Female,YES,YES,174205.22,YES
91,France,Male,YES,NO,147132.46,NO
92,France,Female,YES,NO,109614.57,NO
93,France,Male,YES,YES,172290.61,NO
94,Spain,Male,NO,YES,85982.47,NO
95,Spain,Male,NO,YES,121277.78,NO
96,Spain,Male,NO,YES,64595.25,NO
97,Germany,Male,YES,YES,197276.13,NO
98,Spain,Male,NO,NO,99645.04,NO
99,France,Male,NO,NO,6534.18,NO
100,France,Female,YES,YES,161848.03,NO
101,France,Female,NO,NO,167162.43,NO
102,France,Male,YES,NO,41970.72,NO
103,Spain,Male,YES,NO,60536.56,NO
104,Spain,Female,YES,YES,177655.68,YES
105,Spain,Female,YES,YES,30984.59,YES
106,Germany,Male,YES,YES,10054.53,NO
107,Germany,Female,NO,YES,36976.52,NO
108,Spain,Male,NO,NO,71862.79,NO
109,Germany,Male,YES,NO,99449.86,YES
110,Germany,Male,NO,YES,63082.88,NO
111,Germany,Male,YES,NO,27231.26,NO
112,France,Male,NO,NO,86797.41,NO
113,Spain,Male,NO,YES,22994.32,NO
114,Germany,Male,NO,YES,101300.94,YES
115,Germany,Female,YES,YES,74169.13,NO
116,Germany,Female,YES,NO,115638.29,NO
117,France,Female,YES,NO,31766.3,NO
118,Germany,Female,YES,NO,199725.39,YES
119,Germany,Male,YES,NO,120834.48,NO
120,France,Male,NO,NO,38131.77,NO
121,Spain,Male,NO,NO,100130.95,NO
122,France,Female,YES,NO,141069.88,NO
123,Germany,Female,YES,YES,198129.36,NO
124,France,Female,NO,NO,183646.41,NO
125,France,Male,YES,NO,110265.24,YES
126,France,Female,NO,YES,8636.05,YES
127,Germany,Male,YES,NO,46824.08,YES
128,France,Female,YES,NO,171378.77,NO
129,France,Male,YES,NO,167256.35,NO
130,France,Female,YES,YES,124226.16,NO
131,Germany,Female,YES,YES,114935.21,NO
132,France,Male,YES,YES,35608.88,NO
133,France,Male,NO,YES,16459.37,NO
134,Germany,Male,YES,YES,124411.08,NO
135,Germany,Female,YES,YES,34941.23,NO
136,Germany,Female,NO,YES,167784.28,NO
137,France,Male,NO,YES,93165.34,NO
138,Spain,Female,YES,NO,75161.25,YES
139,Spain,Female,NO,YES,8590.83,YES
140,Germany,Male,YES,NO,189543.9,NO
141,France,Male,YES,YES,180427.24,NO
142,France,Female,YES,YES,193318.33,NO
143,Spain,Male,YES,NO,159123.82,YES
144,France,Female,YES,NO,126213.84,YES
145,Spain,Female,YES,YES,54141.5,NO
146,Spain,Female,YES,NO,141075.51,NO
147,France,Male,NO,NO,24495.03,NO
148,France,Male,YES,NO,74836.34,NO
149,France,Male,NO,YES,878.87,NO
150,Spain,Female,YES,NO,89520.75,NO
